"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Brian Anderson","MIA","125","539","473","117","24","1","17","59","63","50","130","12","6","2","",".247",".332",".412",".744",".323","","-0.1","0.2","","2.1","","524.7","18289"
"Jesús Sánchez","MIA","128","553","500","125","19","5","25","66","75","42","144","6","2","2","",".249",".313",".453",".765",".325","","1.6","-1.4","","2.1","","236.6","19913"
"Andrés Giménez","CLE","107","462","421","105","22","2","14","55","49","23","108","12","17","5","",".249",".304",".415",".719",".309","","3.4","1.2","","2.1","","291.1","19950"
"Michael Conforto","","117","504","428","108","22","1","19","64","67","62","113","9","3","2","",".253",".357",".442",".799",".346","","-1.5","-0.4","","2.1","","241.8","16376"
"Nick Castellanos","PHI","151","651","593","162","38","2","30","92","99","45","140","7","3","2","",".273",".330",".496",".826",".348","","-3.1","-0.6","","2.1","","57.4","11737"
"Austin Hays","BAL","136","588","543","140","28","3","26","77","79","31","123","8","7","4","",".257",".306",".462",".768",".327","","2.9","-0.6","","2.0","","252.8","19363"
"J.D. Martinez","BOS","152","658","585","158","35","2","30","88","98","62","153","5","1","0","",".271",".342",".490",".832",".351","","-0.2","-1.9","","2.0","","88.4","6184"
"Nick Madrigal","CHC","113","490","449","133","22","5","5","57","45","27","35","7","12","6","",".296",".344",".403",".747",".325","","2.5","-1.1","","2.0","","385.2","20521"
"Andrew Benintendi","KCR","130","560","500","134","29","3","17","69","67","48","108","4","11","5","",".268",".335",".438",".773",".333","","1.2","-0.5","","2.0","","193.3","17901"
"AJ Pollock","CHW","118","511","464","122","26","1","24","65","78","34","106","7","7","2","",".263",".320",".477",".797",".337","","-0.7","0.1","","2.0","","220.7","9256"
"Eugenio Suárez","SEA","134","581","508","110","19","1","28","67","79","59","170","8","2","1","",".216",".306",".422",".728",".314","","-2.1","-1.6","","2.0","","209.4","12552"
"Luis Arraez","MIN","131","567","508","153","27","5","5","71","48","50","53","2","4","2","",".301",".364",".399",".763",".333","","-0.1","-0.3","","2.0","","370.0","18568"
"Kevin Kiermaier","TBR","120","518","468","109","22","7","10","60","53","39","127","6","13","5","",".233",".298",".375",".673",".291","","6.8","0.6","","1.9","","589.3","11038"
"Joey Votto","CIN","152","658","559","139","27","1","32","86","97","89","155","5","2","0","",".249",".355",".473",".828",".353","","-1.1","-2.7","","1.9","","141.5","4314"
